rgn_id,category,name,year,tonnes
1,fish,Barred knifejaw,2009,5778
1,fish,Barred knifejaw,2010,5257
1,fish,Barred knifejaw,2011,5
1,fish,Barred knifejaw,2016,3
1,fish,Bastard halibut,2009,407
1,fish,Bastard halibut,2010,248
1,fish,Bastard halibut,2011,260
1,fish,Bastard halibut,2012,247
1,fish,Bastard halibut,2013,183
1,fish,Bastard halibut,2014,267
1,fish,Bastard halibut,2015,181
1,fish,Bastard halibut,2016,168
1,fish,Filefishes,2009,15
1,fish,Filefishes,2010,25
1,fish,Flounders,2009,15
1,fish,Flounders,2010,15
1,fish,Flounders,2011,68
1,fish,Flounders,2012,20
1,fish,Flounders,2013,11
1,fish,Flounders,2014,27
1,fish,Flounders,2015,44
1,fish,Flounders,2016,13
1,fish,Korean rockfish,2009,3
1,other fisheries animals,Korean common sea squint,2009,139
1,other fisheries animals,Korean common sea squint,2010,34
1,other fisheries animals,Korean common sea squint,2014,8
1,other fisheries animals,Korean common sea squint,2015,4
1,other fisheries animals,Korean common sea squint,2016,8
1,other fisheries animals,Other fisheries animals,2012,16
1,other fisheries animals,Wart sea squint,2011,376
1,other fisheries animals,Wart sea squint,2012,29
1,other fisheries animals,Wart sea squint,2013,457
1,other fisheries animals,Wart sea squint,2014,122
1,other fisheries animals,Wart sea squint,2015,292
1,other fisheries animals,Wart sea squint,2016,88
1,other fisheries animals,Wrinkled sea squirt,2009,28087
1,other fisheries animals,Wrinkled sea squirt,2010,51627
1,other fisheries animals,Wrinkled sea squirt,2011,173
1,other fisheries animals,Wrinkled sea squirt,2012,28
1,other fisheries animals,Wrinkled sea squirt,2013,131
1,other fisheries animals,Wrinkled sea squirt,2014,198
1,other fisheries animals,Wrinkled sea squirt,2015,88
1,other fisheries animals,Wrinkled sea squirt,2016,108
1,seaweed,Laver,2009,4352
1,seaweed,Laver,2010,7517
1,seaweed,Laver,2011,16276
1,seaweed,Laver,2012,11534
1,seaweed,Laver,2013,11797
1,seaweed,Laver,2014,16023
1,seaweed,Laver,2015,13791
1,seaweed,Laver,2016,13941
1,seaweed,Sea lettuce,2011,383
1,seaweed,Sea lettuce,2012,309
1,seaweed,Sea lettuce,2013,367
1,seaweed,Sea lettuce,2014,451
1,seaweed,Sea lettuce,2015,460
1,seaweed,Sea lettuce,2016,303
1,seaweed,Sea mustard,2009,11
1,seaweed,Sea mustard,2011,25454
1,seaweed,Sea mustard,2012,18093
1,seaweed,Sea mustard,2013,14745
1,seaweed,Sea mustard,2014,11951
1,seaweed,Sea mustard,2015,13903
1,seaweed,Sea mustard,2016,8757
1,seaweed,Sea staghorn,2009,599
1,seaweed,Sea staghorn,2010,375
1,other fisheries animals,Sea tangle,2009,11262
1,other fisheries animals,Sea tangle,2010,27992
1,other fisheries animals,Sea tangle,2011,13488
1,other fisheries animals,Sea tangle,2012,7130
1,other fisheries animals,Sea tangle,2013,9655
1,other fisheries animals,Sea tangle,2014,9806
1,other fisheries animals,Sea tangle,2015,8686
1,other fisheries animals,Sea tangle,2016,7720
1,shellfish,Abalones nei,2009,65
1,shellfish,Abalones nei,2012,1
1,shellfish,Abalones nei,2013,2
1,shellfish,Abalones nei,2014,2
1,shellfish,Abalones nei,2015,2
1,shellfish,Abalones nei,2016,3
1,shellfish,Ark shell,2016,30
1,shellfish,Broughton's ribbed ark,2009,737
1,shellfish,Broughton's ribbed ark,2010,2324
1,shellfish,Broughton's ribbed ark,2011,2045
1,shellfish,Broughton's ribbed ark,2012,1796
1,shellfish,Broughton's ribbed ark,2013,1961
1,shellfish,Broughton's ribbed ark,2014,2385
1,shellfish,Chinese cyclina,2009,28
1,shellfish,Chinese cyclina,2010,22
1,shellfish,Cockle,2009,1043
1,shellfish,Cockle,2010,780
1,shellfish,Cockle,2011,44
1,shellfish,Cockle,2012,29
1,shellfish,Japanese littleneck,2009,47
1,shellfish,Japanese littleneck,2011,934
1,shellfish,Japanese littleneck,2012,574
1,shellfish,Mussels,2011,1280
1,shellfish,Mussels,2012,926
1,shellfish,Mussels,2013,321
1,shellfish,Mussels,2014,373
1,shellfish,Mussels,2015,372
1,shellfish,Mussels,2016,594
1,shellfish,Oysters,2011,2553
1,shellfish,Oysters,2012,1818
1,shellfish,Oysters,2013,3369
1,shellfish,Oysters,2014,2788
1,shellfish,Oysters,2015,2430
1,shellfish,Oysters,2016,2287
1,shellfish,Shellfish,2009,270
1,shellfish,Shellfish,2010,36
1,shellfish,Venus clam,2009,1524
1,shellfish,Venus clam,2010,1414
1,shellfish,Venus clam,2011,5
2,crustacean,Fleshy prawn,2009,5
2,crustacean,Fleshy prawn,2012,7
2,crustacean,Fleshy prawn,2013,5
2,crustacean,Fleshy prawn,2015,1
2,crustacean,White leg shrimp,2009,45
2,crustacean,White leg shrimp,2010,166
2,crustacean,White leg shrimp,2011,114
2,crustacean,White leg shrimp,2012,90
2,crustacean,White leg shrimp,2013,113
2,crustacean,White leg shrimp,2014,173
2,crustacean,White leg shrimp,2015,153
2,crustacean,White leg shrimp,2016,186
2,fish,Dotted gizzard shad,2016,3
2,fish,Mullets,2010,83
2,fish,Mullets,2011,40
2,fish,Pufferfishes,2009,5
2,fish,Pufferfishes,2010,1
2,seaweed,Laver,2009,295
2,seaweed,Laver,2010,1260
2,seaweed,Laver,2011,338
2,seaweed,Laver,2012,333
2,seaweed,Laver,2013,2827
2,seaweed,Laver,2014,2417
2,seaweed,Laver,2015,3196
2,seaweed,Laver,2016,2740
2,seaweed,Sea mustard,2011,2
2,seaweed,Sea mustard,2016,15
2,other fisheries animals,Sea tangle,2009,4
2,other fisheries animals,Sea tangle,2010,102
2,other fisheries animals,Sea tangle,2011,5
2,other fisheries animals,Sea tangle,2012,2
2,other fisheries animals,Sea tangle,2013,2
2,other fisheries animals,Sea tangle,2015,5
2,other fisheries animals,Sea tangle,2016,10
2,shellfish,Abalones nei,2010,1
2,shellfish,Chinese cyclina,2011,8
2,shellfish,Japanese littleneck,2009,296
2,shellfish,Japanese littleneck,2010,581
2,shellfish,Japanese littleneck,2011,108
2,shellfish,Japanese littleneck,2013,80
2,shellfish,Japanese littleneck,2014,633
2,shellfish,Japanese littleneck,2015,722
2,shellfish,Japanese littleneck,2016,604
2,shellfish,Oysters,2009,667
2,shellfish,Oysters,2010,236
2,shellfish,Oysters,2011,160
2,shellfish,Oysters,2012,2
2,shellfish,Oysters,2013,288
2,shellfish,Venus clam,2009,1
2,shellfish,Venus clam,2013,21
2,shellfish,Venus clam,2014,1
2,shellfish,Venus clam,2015,1
3,fish,Bastard halibut,2009,672
3,fish,Bastard halibut,2010,672
3,fish,Bastard halibut,2011,464
3,fish,Bastard halibut,2012,266
3,fish,Bastard halibut,2013,485
3,fish,Bastard halibut,2014,150
3,fish,Bastard halibut,2015,272
3,fish,Bastard halibut,2016,236
3,fish,Flounders,2009,8
3,fish,Flounders,2010,8
3,fish,Flounders,2011,23
3,fish,Flounders,2012,32
3,fish,Flounders,2013,59
3,fish,Flounders,2014,67
3,fish,Flounders,2015,69
3,fish,Flounders,2016,52
3,fish,Korean rockfish,2009,54
3,fish,Korean rockfish,2010,54
3,fish,Korean rockfish,2011,31
3,other fisheries animals,Korean common sea squint,2012,15
3,other fisheries animals,Korean common sea squint,2013,20
3,seaweed,Sea mustard,2009,5877
3,seaweed,Sea mustard,2010,5877
3,seaweed,Sea mustard,2011,5804
3,seaweed,Sea mustard,2012,5630
3,seaweed,Sea mustard,2013,7092
3,seaweed,Sea mustard,2014,3697
3,seaweed,Sea mustard,2015,4720
3,seaweed,Sea mustard,2016,4621
3,other fisheries animals,Sea tangle,2009,416
3,other fisheries animals,Sea tangle,2010,416
3,other fisheries animals,Sea tangle,2011,222
3,other fisheries animals,Sea tangle,2012,132
3,other fisheries animals,Sea tangle,2013,650
3,other fisheries animals,Sea tangle,2014,595
3,other fisheries animals,Sea tangle,2015,1140
3,other fisheries animals,Sea tangle,2016,965
3,shellfish,Abalones nei,2013,32
3,shellfish,Abalones nei,2014,35
