region_id,category,year,sust_tonnes_sum,area_sum
1,fish,2011,2919,7
1,fish,2012,275.75,7
1,fish,2013,245,7
1,fish,2014,226.5,7
1,fish,2015,236.33333333333334,7
1,fish,2016,206,7
1,other fisheries animals,2011,13327.083333333334,0
1,other fisheries animals,2012,402.5,0
1,other fisheries animals,2013,358.25,0
1,other fisheries animals,2014,377.6666666666667,0
1,other fisheries animals,2015,305.33333333333337,12
1,other fisheries animals,2016,294,0
1,seaweed,2011,46505.91666666667,1570
1,seaweed,2012,41865.5,1202
1,seaweed,2013,37175.25,987
1,seaweed,2014,35589,987
1,seaweed,2015,35264,970
1,seaweed,2016,33780.5,1202
1,shellfish,2011,7261.166666666667,6
1,shellfish,2012,6200.916666666667,6
1,shellfish,2013,5751.333333333333,221
1,shellfish,2014,5338.75,232
1,shellfish,2015,5365.333333333333,239
1,shellfish,2016,2874,6
2,crustacean,2011,126.75,0
2,crustacean,2012,128.5,0
2,crustacean,2013,136.58333333333334,0
2,crustacean,2014,159.25,103
2,crustacean,2015,171.66666666666666,94
2,crustacean,2016,170.5,94
2,fish,2011,62.5,133
2,fish,2012,40,110
2,fish,2013,0,110
2,fish,2014,3,7
2,fish,2015,3,5
2,fish,2016,3,5
2,seaweed,2011,1219.25,799
2,seaweed,2012,1483.75,339
2,seaweed,2013,2196.25,289
2,seaweed,2014,2815.6666666666665,289
2,seaweed,2015,2806.8333333333335,295
2,seaweed,2016,2990.5,269
2,shellfish,2011,457.8333333333333,1664
2,shellfish,2012,442.6666666666667,1025
2,shellfish,2013,631,1111
2,shellfish,2014,805.4166666666666,1168
2,shellfish,2015,654,1240
2,shellfish,2016,664,1247
3,fish,2011,544.75,6.99
3,fish,2012,417.5,7
3,fish,2013,350,7
3,fish,2014,347.5,7
3,fish,2015,282,7
3,fish,2016,314.5,7
3,other fisheries animals,2011,17.5,12
3,other fisheries animals,2012,17.5,12
3,other fisheries animals,2013,17.5,12
3,other fisheries animals,2014,20,12
3,other fisheries animals,2015,0,12
3,other fisheries animals,2016,0,12
3,seaweed,2011,6455.75,270
3,seaweed,2012,5955.5,263
3,seaweed,2013,5914,250
3,seaweed,2014,5870,245
3,seaweed,2015,5246,237
3,seaweed,2016,5723,232
3,shellfish,2011,32,115
3,shellfish,2012,33.5,114
3,shellfish,2013,35,153
3,shellfish,2014,35.25,159
3,shellfish,2015,36.333333333333336,158
3,shellfish,2016,37,163
4,crustacean,2011,66.5,27
