year,category,name,1,2,3,4,5,6,7,8,9,10,11
2011,seaweed,Laver,"1,043",472,,,,"2,612","4,781","48,014",,0,
2011,seaweed,Sea mustard,476,56,257,,17,173,,"4,711",40,117,
2011,seaweed,Sea tangle,8,271,13,,125,60,,"6,820",,0,3
2011,seaweed,Sea lettuce,43,,,,,,,"2,517",,0,
2011,seaweed,Seaweed fusiforme,,,,,,,90,"1,849",,0,
2011,seaweed,Gulf weed,,,,,,5,,449,,0,
2011,seaweed,Other seaweeds,,,,,4,,,"6,813",,0,
2011,shellfish,Oysters,0,279,,0,8,879,46,"2,847",0,"3,549",
2011,shellfish,Broughton's ribbed ark,,234,12,,,108,615,"2,560",,"3,883",
2011,shellfish,Japanese littleneck,,440,,20,,"2,718","1,042","1,485",,922,27
2011,shellfish,Cockle,,,,,,20,,"3,088",,26,
2011,shellfish,Chinese cyclina,,214,,,,317,502,46,,,
2011,shellfish,Ark shell,,,,,,40,537,"9,678",,312,
2011,shellfish,Venus clam,,133,,,,61,40,164,,,
2011,shellfish,Mussels,,,,,,18,17,335,6,386,
2011,shellfish,Scallops,,102,,2,799,73,64,109,,57,
2011,shellfish,Abalones nei,6,152,103,3,11,342,182,"5,570",47,338,33
2011,shellfish,Sunray surf clam,,,,,,40,,0,,24,
2011,shellfish,Surf clam,,,,,,44,,0,,,
2011,shellfish,Shellfish,,110,,,3,10,84,389,"2,463",73,907
2011,fish,Fish,7,133,6.99,2,9,135,309,703,79,372,18
2011,fish,Shrimp,,,,27,,120,,174,,30,
2011,fish,Korean common sea squint,,,8,,101,,,31,670,671,
2011,fish,Sea cucumber,,127,4,,,413,166,2,,220,24
2011,fish,Wart sea squint,,,,,,,,3,,548,
2011,fish,others,,,,,"2,578",379,,55,,,2
2011,fishery,Village fishery,"1,695","1,767",896,180,"8,777","4,529","1,971","56,526","6,134","18,318","14,346"
2011,fishery,Fixed shore net fishing,3,0,61,0,"2,096",61,102,681,"2,566","1,683",130
2012,seaweed,Laver,721,138,0,0,0,"2,708","1,769","49,401",0,0,0
2012,seaweed,Sea mustard,436,35,250,0,11,241,0,"4,645",54,156,0
2012,seaweed,Sea tangle,8,166,13,0,96,58,0,"6,848",0,0,3
2012,seaweed,Sea lettuce,37,0,0,0,0,0,0,"1,929",0,0,0
2012,seaweed,Seaweed fusiforme,0,0,0,0,0,0,90,"1,935",0,0,0
2012,seaweed,Gulf weed,0,0,0,0,0,0,0,478,0,0,0
2012,seaweed,Other seaweeds,0,0,0,0,0,0,0,"7,022",0,0,0
2012,shellfish,Oysters,0,241,0,0,8,"1,012",46,"2,806",0,"3,545",0
2012,shellfish,Broughton's ribbed ark,0,206,52,0,0,123,615,"2,315",0,"3,851",0
2012,shellfish,Japanese littleneck,0,146,0,20,0,"2,571","1,152","1,523",0,953,27
2012,shellfish,Cockle,0,0,0,0,0,20,0,"3,253",0,26,0
2012,shellfish,Chinese cyclina,0,144,0,0,0,324,511,51,0,0,0
2012,shellfish,Ark shell,0,0,0,0,0,40,505,"10,187",0,339,0
2012,shellfish,Venus clam,0,53,0,0,0,61,35,164,0,0,0
2012,shellfish,Mussels,0,0,0,0,0,28,17,396,6,385,0
2012,shellfish,Scallops,0,30,0,2,296,53,24,109,0,64,0
2012,shellfish,Abalones nei,6,115,62,3,33,310,141,"5,627",53,226,9
2012,shellfish,Sunray surf clam,0,0,0,0,0,0,0,0,0,0,0
2012,shellfish,Surf clam,0,0,0,0,0,28,0,0,0,0,0
2012,shellfish,Shellfish,0,90,0,0,474,10,0,"1,346","2,222",421,0
2012,fish,Fish,7,110,7,2,9,129,311,686,69,372,38
