rgn_id,year,pop_coast
1,2009,"1,855,000"
2,2009,"2,036,000"
3,2009,929000
4,2009,"2,504,000"
5,2009,519000
6,2009,953000
7,2009,484000
8,2009,"1,593,000"
9,2009,881000
10,2009,"1,731,000"
11,2009,625000
1,2010,"1,855,000"
2,2010,"2,036,000"
3,2010,929000
4,2010,"2,504,000"
5,2010,519000
6,2010,953000
7,2010,484000
8,2010,"1,593,000"
9,2010,881000
10,2010,"1,731,000"
11,2010,625000
1,2011,"1,855,000"
2,2011,"2,036,000"
3,2011,929000
4,2011,"2,504,000"
5,2011,519000
6,2011,953000
7,2011,484000
8,2011,"1,593,000"
9,2011,881000
10,2011,"1,731,000"
11,2011,625000
1,2012,"1,855,000"
2,2012,"2,036,000"
3,2012,929000
4,2012,"2,504,000"
5,2012,519000
6,2012,953000
7,2012,484000
8,2012,"1,593,000"
9,2012,881000
10,2012,"1,731,000"
11,2012,625000
1,2013,"1,855,000"
2,2013,"2,036,000"
3,2013,929000
4,2013,"2,504,000"
5,2013,519000
6,2013,953000
7,2013,484000
8,2013,"1,593,000"
9,2013,881000
10,2013,"1,731,000"
11,2013,625000
1,2014,"1,855,000"
2,2014,"2,036,000"
3,2014,929000
4,2014,"2,504,000"
5,2014,519000
6,2014,953000
7,2014,484000
8,2014,"1,593,000"
9,2014,881000
10,2014,"1,731,000"
11,2014,625000
1,2015,"1,855,000"
2,2015,"2,036,000"
3,2015,929000
4,2015,"2,504,000"
5,2015,519000
6,2015,953000
7,2015,484000
8,2015,"1,593,000"
9,2015,881000
10,2015,"1,731,000"
11,2015,625000
1,2016,"1,855,000"
2,2016,"2,036,000"
3,2016,929000
4,2016,"2,504,000"
5,2016,519000
6,2016,953000
7,2016,484000
8,2016,"1,593,000"
9,2016,881000
10,2016,"1,731,000"
11,2016,625000
