rgn_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,66.572,69.279,71.193,73.695,76.341,78.444,80.202,82.235,86.079,88.452,91.051,94.717,96.789,98.048,99.298,100,100.97
12,65.447,68.288,70.54,73.228,76.08,78.072,79.685,81.773,85.176,87.686,90.146,93.586,95.908,97.245,98.761,100,101.18
1,66.144,68.866,70.63,73.165,75.376,77.463,79.174,81.117,84.959,87.541,90.235,94.258,96.514,97.938,99.168,100,101.18
13,67.399,69.932,71.617,73.982,76.161,78.121,79.904,81.792,85.724,87.742,90.223,93.967,96.268,97.859,99.263,100,101
2,67.1,70.024,71.829,74.133,76.71,78.661,80.543,82.417,86.475,88.782,91.593,94.723,96.602,97.648,99.018,100,100.85
14,67.117,69.578,71.094,73.432,76.542,78.869,80.636,82.739,86.663,88.852,91.468,95.195,96.896,98.148,99.723,100,100.92
15,67.667,70.255,71.902,74.168,76.999,79.249,81.269,83.264,87.187,89.168,91.894,96.015,97.93,98.896,99.802,100,100.68
3,65.876,68.484,70.257,72.65,75.422,77.737,79.869,82.143,86.419,88.427,91.235,94.869,96.905,98.375,99.543,100,100.99
4,66.41,69.171,71.335,73.753,76.299,78.414,80.328,82.341,86.313,88.816,91.358,94.867,96.871,98.054,99.266,100,100.94
5,67.897,70.489,71.756,74.229,77.086,79.819,81.635,83.537,87.981,89.65,92.357,96.36,98.223,99.289,99.964,100,100.79
16,67.795,70.236,71.473,73.998,76.45,78.846,80.633,82.827,87.078,89.2,91.822,95.87,97.753,98.979,100.154,100,100.57
6,67.108,69.507,70.978,73.578,76.447,78.901,80.92,82.939,87.022,89.396,92.083,95.859,98.155,99.321,99.784,100,100.69
7,67.141,69.737,71.131,73.564,76.407,78.51,80.224,82.194,86.224,88.736,91.644,95.652,97.737,98.916,100.029,100,100.54
8,68.136,70.458,71.878,74.137,76.743,78.77,80.412,82.4,86.339,88.748,91.709,95.813,97.715,99.04,100.033,100,100.94
9,68.619,71.026,72.278,74.131,76.636,78.91,80.739,82.718,87.098,89.157,91.978,95.895,97.826,98.958,99.96,100,100.69
10,66.84,69.441,71.174,73.753,76.109,78.116,79.678,81.552,85.718,88.224,91.197,95.035,96.859,98.118,99.452,100,100.93
11,68.358,70.408,72.419,74.778,77.774,79.723,81.258,82.992,87.236,88.817,91.819,95.76,96.929,98.27,99.365,100,101.29
