rgn_id,year,category,total_output,jobs_wo,jobs,wage_krw,gdp_krw,pct_unemployed
5,2010,fism,214555.105,2457,696.6538566,89.85781246,30628,2.6
4,2010,fism,36772.80785,775,219.7422625,49.25180511,266562,4
10,2010,fism,1141287.018,8623,2444.95165,97.46547383,87419,2.8
9,2010,fism,567484.7317,3447,977.3568757,151.4028968,80839,2.8
14,2010,fism,0,0,0,0,26401,3.5
13,2010,fism,100134.4214,251,71.16813919,414.7734243,38580,4
15,2010,fism,19.80372996,1,0.283538403,20.58961599,27632,3.6
1,2010,fism,1572106.942,1913,542.4089653,851.3364203,63737,3.6
12,2010,fism,412951.1658,202,57.27475744,2125.438671,289719,4.7
3,2010,fism,70721.12414,151,42.81429888,419.2835294,62852,3.6
2,2010,fism,197475.8264,2226,631.1564854,91.73630497,60708,5.1
8,2010,fism,1487331.309,20577,5834.369722,53.46297179,59901,2.1
7,2010,fism,121632.4616,1941,550.3480405,64.54373273,36632,2.2
11,2010,fism,1053181.583,4378,1241.331129,159.9086447,10899,1.8
6,2010,fism,441263.433,8394,2380.021356,50.56550199,83167,2.9
16,2010,fism,4299.267535,11,3.118922435,406.3525945,39470,2.2
5,2010,sb,10218.43689,48,46.45394613,22.4373505,30628,2.6
4,2010,sb,16760.88572,187,180.9768318,11.28495218,266562,4
10,2010,sb,33803182.63,51450,49792.82351,78.37214292,87419,2.8
9,2010,sb,260126.2166,1418,1372.326992,31.59319078,80839,2.8
14,2010,sb,9568,17,16.45243925,97.27787678,26401,3.5
13,2010,sb,3618.129351,39,37.74383123,11.53827373,38580,4
15,2010,sb,1379,25,24.19476361,10.8711732,27632,3.6
1,2010,sb,2452484.466,5119,4954.119797,61.41135087,63737,3.6
12,2010,sb,1331.047586,21,20.32360143,6.63529083,289719,4.7
3,2010,sb,13201320.05,29284,28340.7783,49.8203687,62852,3.6
2,2010,sb,62745.19503,380,367.7604069,19.66814439,60708,5.1
8,2010,sb,6720673.784,11398,11030.87662,66.50188474,59901,2.1
7,2010,sb,677044.0478,1269,1228.126201,44.0461219,36632,2.2
11,2010,sb,798,8,7.742324355,15.4956914,10899,1.8
6,2010,sb,52518.97009,155,150.0075344,49.13724459,83167,2.9
16,2010,sb,4812.136394,53,51.29289885,8.470717848,39470,2.2
5,2010,ts,288972.0312,218,203.7361413,80.058344,30628,2.6
4,2010,ts,937261.7147,849,793.4494678,31.08421966,266562,4
10,2010,ts,507448.7675,1082,1011.204151,22.42981432,87419,2.8
9,2010,ts,802254.7737,592,553.2651177,57.38474882,80839,2.8
14,2010,ts,0,0,0,0,26401,3.5
13,2010,ts,0,0,0,0,38580,4
15,2010,ts,0,0,0,0,27632,3.6
1,2010,ts,4182117.651,7143,6675.629621,33.14093103,63737,3.6
12,2010,ts,20808501.68,9848,9203.639998,46.46553011,289719,4.7
3,2010,ts,2132731.627,1153,1077.558582,65.14697063,62852,3.6
2,2010,ts,1613881.664,1393,1301.855252,50.92239339,60708,5.1
8,2010,ts,2969949.889,2475,2313.059403,54.56188996,59901,2.1
7,2010,ts,200056.3801,251,234.5769333,25.70414074,36632,2.2
11,2010,ts,121952.9549,717,670.0862996,33.15488522,10899,1.8
6,2010,ts,1119187.754,393,367.285796,91.05553367,83167,2.9
16,2010,ts,6379.115189,97,90.65323719,15.90653294,39470,2.2
5,2013,fism,208831.6929,2032,567.5177872,116.4456791,35357,2.4
4,2013,fism,35792.52176,650,181.5386623,62.97216971,313671,3
10,2013,fism,1110180.118,7125,1989.943029,123.0484443,99619,2.1
9,2013,fism,552223.5908,2866,800.4458554,193.6005385,89132,3.1
14,2013,fism,0,0,0,0,29763,2.9
13,2013,fism,97465.38179,250,69.82256241,446.6111477,44754,3.3
15,2013,fism,19.27587012,1,0.27929025,22.08173384,31456,3.1
1,2013,fism,1530191.438,1571,438.7649822,1111.528844,70338,3.8
12,2013,fism,401944.1314,201,56.13734018,2290.808649,318607,4
3,2013,fism,68815.82508,150,41.89353744,447.8201194,68348,2.1
2,2013,fism,192209.9978,1847,515.8490911,118.5299589,64654,4.2
8,2013,fism,1446802.221,17220,4809.378099,66.67110134,62289,2.1
7,2013,fism,118388.0613,1569,438.2064017,85.57957181,42513,2
11,2013,fism,1024326.397,3623,1011.868574,199.4792314,13198,1.8
6,2013,fism,429433.675,6873,1919.561886,65.87566678,99154,2.8
16,2013,fism,4184.672421,10,2.792902496,479.3808115,47402,2.1
5,2013,sb,9079,38,36.93499773,37.93150362,35357,2.4
4,2013,sb,12191,152,147.7399909,9.191824038,313671,3
10,2013,sb,31279372,46631,45324.10208,85.30472358,99619,2.1
9,2013,sb,321649,1515,1472.540041,36.79764114,89132,3.1
14,2013,sb,11407,8,7.775788996,122.0454928,29763,2.9
13,2013,sb,3123,9,8.747762621,41.03906514,44754,3.3
15,2013,sb,1796,18,17.49552524,17.66165895,31456,3.1
1,2013,sb,2142591,4018,3905.390023,72.63192621,70338,3.8
