rgn_id,year,gdp_krw,workforce_size,unemployment_rate,CPI
0,2000,6.35E+14,22134000,4.4,66.572
0,2001,6.88E+14,22471000,4,69.279
0,2002,7.62E+14,22921000,3.3,71.193
0,2003,8.11E+14,22956500,3.6,73.695
0,2004,8.76E+14,23417000,3.7,76.341
0,2005,9.20E+14,23742800,3.7,78.444
0,2006,9.66E+14,23978200,3.5,80.202
0,2007,1.04E+15,24215700,3.2,82.235
0,2008,1.10E+15,24346600,3.2,86.079
0,2009,1.15E+15,24394300,3.6,88.452
0,2010,1.27E+15,24748400,3.7,91.051
0,2011,1.33E+15,25098900,3.4,94.717
0,2012,1.38E+15,25500600,3.2,96.789
0,2013,1.43E+15,25873400,3.1,98.048
0,2014,1.49E+15,26535900,3.5,99.298
0,2015,1.56E+15,26912600,3.6,100
0,2016,1.64E+15,27247200,3.7,100.97
