rgn_id,sector,year,total_output,employed_wo_pay,employed,emp_wo_p_factor,emp_factor, wages_month ,wages
0,fism,2010,19459660,162251,85639,31,17.5,3049305,36591657
0,rd,2010,933585,3034,2701,1.9,1.3,3798126,45577513
0,con,2010,6077001,112685,98407,7.7,6.4,1397495,16769946
0,ts,2010,41387792,67848,62404,20.8,16.8,3222832,38673988
0,em,2010,11315164,27922,24131,14.2,10.3,4339917,52079006
0,sb,2010,57278581,100871,97622,7.1,5.5,5523225,66278697
0,ser,2010,7133914,60203,56687,3.9,3.2,1943103,23317241
0,pa,2010,5226799,52582,52141,0.9,0.8,4037435,48449221
0,tour,2010,7801238,116099,59077,2.7,1.5,2311780,27741365
0,env,2010,1340646,5915,5310,3.2,2.5,3477716,41732590
0,fism,2011,20580805,153931,86152,27.3,16.3,3299872,39598461
0,rd,2011,972968,2650,2406,1.6,1.1,4269320,51231840
0,con,2011,6051877,57996,44012,4.8,3.6,3170122,38041470
0,ts,2011,35945822,67846,62644,20.4,16.6,3384348,40612175
0,em,2011,12678943,31117,27794,13.9,10.3,4259218,51110619
0,sb,2011,63584470,110440,106625,7.1,5.6,5229530,62754354
0,ser,2011,8104870,55503,52006,3.4,2.9,2010403,24124832
0,pa,2011,5580496,53943,53551,0.8,0.8,4123392,49480704
0,tour,2011,8022099,123519,64576,2.8,1.6,2233660,26803917
0,env,2011,1480161,6470,5989,3.1,2.5,3250053,39000641
0,fism,2012,21060192,157651,88253,27.3,16.2,3181264,38175170
0,rd,2012,964078,2441,2170,1.4,1,4918316,59019793
0,con,2012,5861594,62884,47829,4.5,3.4,3038810,36465716
0,ts,2012,38303986,75469,68910,20.2,16.3,3093917,37127006
0,em,2012,13268325,32196,29057,13.6,10.1,4664807,55977681
0,sb,2012,59773980,95896,92635,7.1,5.5,6074378,72892535
0,ser,2012,9263136,56299,52670,3.3,2.8,2107268,25287211
0,pa,2012,5926342,55059,54655,0.8,0.7,4329941,51959292
0,tour,2012,8367700,128952,68400,2.8,1.6,2183411,26200928
0,env,2012,1493141,7066,6445,3,2.4,3073805,36885655
0,fism,2013,20961723,156466,88063,27.9,16.2,3259213,39110550
0,rd,2013,1058893,2544,2327,1.5,1.1,5183582,62202986
0,con,2013,6145196,59213,45052,4.1,3.1,3546622,42559466
0,ts,2013,33866606,83572,76846,20.4,16.8,2986795,35841537
0,em,2013,10922088,31646,28799,13.5,10.4,4371272,52455268
0,sb,2013,54594078,103581,100678,7.1,5.7,5645354,67744244
0,ser,2013,9172576,56833,54109,3.4,2.8,2027742,24332907
0,pa,2013,6322579,57147,56733,0.8,0.7,4531977,54383728
0,tour,2013,8439407,129344,68113,2.7,1.6,2267616,27211392
0,env,2013,1839295,8800,8000,3.2,2.6,2819712,33836543
0,fism,2014,21598865,157040,91172,27.4,16.2,3089056,37068671
0,rd,2014,1147243,2470,2394,1.4,1.1,5321234,63854810
0,con,2014,5308954,57023,43666,3.7,2.8,3295763,39549159
0,ts,2014,34036316,81585,74756,20.6,17,3194818,38337811
0,em,2014,10994741,31166,27928,14.2,10.9,4296810,51561724
0,sb,2014,55532914,110291,106954,8.2,6.6,5536742,66440900
0,ser,2014,9410293,53189,50200,3.1,2.6,2247961,26975537
0,pa,2014,6854457,56242,55789,0.8,0.7,4775682,57308180
0,tour,2014,8692961,129660,68205,2.6,1.5,159024,1908293
0,env,2014,1878226,9040,8200,3.2,2.6,2824751,33897017
