rgn_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,"22,134","22,471","22,921","22,956.5","23,417","23,742.8","23,978.2","24,215.7","24,346.6","24,394.3","24,748.4","25,098.9","25,500.6","25,873.4","26,535.9","26,912.6","27,247.2"
5,687,678,696,678.3,684.3,682.5,689.3,684.1,685.7,694.4,685,691,711.1,714.8,733.9,756.2,764.8
4,"4,224","4,395","4,614","4,783.6","5,059.7","5,249.8","5,422.3","5,585.4","5,713.1","5,761","5,912.7","6,044.8","6,125.7","6,171.9","6,442.3","6,625.6","6,785.2"
10,"1,408","1,427","1,438","1,482.7","1,507.8","1,510.9","1,518.7","1,538.7","1,564.9","1,567.8","1,576.3","1,616.5","1,618.3","1,652.8","1,673","1,707.7","1,740.3"
9,"1,415","1,412","1,409","1,401.2","1,402.5","1,397.3","1,393.4","1,376.4","1,382","1,384.5","1,399.8","1,392.9","1,413.3","1,430.4","1,463.2","1,456.9","1,466.2"
14,592,608,627,620,630.5,646.9,645.5,659.2,662.6,673,688.1,691.5,704.1,729.3,757.5,762.9,761.7
13,"1,148","1,177","1,206","1,197.6","1,224.2","1,233.1","1,218","1,199.8","1,184.7","1,199.9","1,218.2","1,213.9","1,245.2","1,236.6","1,263.5","1,279","1,287.9"
15,608,637,667,664.3,676.9,675.7,691.6,709.1,721.9,724.1,728,739.2,753.2,759.1,792.2,804.9,801.4
1,"1,757","1,743","1,773","1,678.7","1,685.7","1,697.6","1,698.1","1,682.2","1,659.2","1,639.1","1,632.7","1,633","1,693","1,709.7","1,733.2","1,727.8","1,727.5"
12,"4,917","4,965","4,999","4,980.9","5,067.5","5,135.4","5,137.5","5,147.5","5,122.4","5,063.6","5,179.6","5,251.5","5,258.2","5,307.2","5,386.4","5,362.1","5,352.5"
3,456,465,485,491.6,506.5,510.7,508.7,528.2,545.2,544.1,553.4,559.2,561.4,557.7,560.8,577.8,592.6
2,"1,163","1,195","1,227","1,232.7","1,248.6","1,257.4","1,284.9","1,311.2","1,317.2","1,354.5","1,390.3","1,428.5","1,480.4","1,504.5","1,541.2","1,567.5","1,600.2"
8,"1,014","1,009","1,005",980.9,954.6,952.5,933.5,920.4,922.5,923.9,903.9,903.6,925.5,934.3,936,947.8,957
7,870,878,863,860.3,845.6,848.3,849.8,847.9,847.8,841.8,835.4,848.8,864,893.2,897.1,909.3,928.1
11,268,271,278,286,284.8,290.7,294.8,294.8,295.6,293.4,288.7,296.3,300.7,310.2,322.9,339.7,361.1
6,917,922,933,928.6,941.9,956.2,991.1,"1,021.1",996,990.7,"1,002.9","1,024.6","1,080.2","1,169.8","1,197.7","1,237.4","1,268.2"
16,690,691,700,689.1,695.9,697.9,700.9,709.5,725.8,738.6,753.2,763.6,766.2,791.9,834.9,850,852.4
