rgn_id,rgn_name,area_km2
1,Busan,2506.14
2,Incheon,24007.25
3,Ulsan,4850.75
4,Gyeonggi,810.03
5,Gangwon,16323.44
6,Chungcheongnam,23644.86
7,Jeollabuk,9043.68
8,Jeollanam,102394.21
9,Gyeongsangbuk,90947.7
10,Gyeongsangnam,8445.34
11,Jeju,77969.84
