rgn_id,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.105,0,0.158,0.105,0,0,0.171,0.243,0.34
2,0.421,0.474,0.316,0.053,0.4,0.3,0.455,0.417,0.208
3,0.111,0.222,0.222,0.667,0.222,0.222,0.437,0.409,0.318
4,0.556,0.333,0.444,0.111,0.545,0.364,0.389,0.273,0.273
5,0.158,0.283,0.237,0.132,0.395,0.158,0.395,0.205,0.128
6,0.125,0.042,0.042,0,0.042,0.083,0.083,0,0.031
7,0.312,0.062,0.125,0.062,0.125,0.187,0.125,0.182,0.437
8,0.295,0.281,0.072,0.043,0.188,0.116,0.155,0.304,0.152
9,0.25,0.325,0.425,0.345,0.225,0.325,0.45,0.513,0.051
10,0.145,0.127,0.182,0.182,0.327,0.091,0.279,0.424,0.364
11,0.174,0.13,0.043,0.13,0.174,0.13,0.346,0,0.038
