rgn_id,sector,weight
1,fism,1
1,rd,1
1,con,1
1,ts,1
1,em,1
1,sb,1
1,ser,1
1,pa,1
1,tour,1
1,env,1
2,fism,1
2,rd,1
2,con,1
2,ts,1
2,em,1
2,sb,1
2,ser,1
2,pa,1
2,tour,1
2,env,1
3,fism,1
3,rd,1
3,con,1
3,ts,1
3,em,1
3,sb,1
3,ser,1
3,pa,1
3,tour,1
3,env,1
4,fism,1
4,rd,1
4,con,1
4,ts,1
4,em,1
4,sb,1
4,ser,1
4,pa,1
4,tour,1
4,env,1
5,fism,1
5,rd,1
5,con,1
5,ts,1
5,em,1
5,sb,1
5,ser,1
5,pa,1
5,tour,1
5,env,1
6,fism,1
6,rd,1
6,con,1
6,ts,1
6,em,1
6,sb,1
6,ser,1
6,pa,1
6,tour,1
6,env,1
7,fism,1
7,rd,1
7,con,1
7,ts,1
7,em,1
7,sb,1
7,ser,1
7,pa,1
7,tour,1
7,env,1
8,fism,1
8,rd,1
8,con,1
8,ts,1
8,em,1
8,sb,1
8,ser,1
8,pa,1
8,tour,1
8,env,1
9,fism,1
9,rd,1
9,con,1
9,ts,1
9,em,1
9,sb,1
9,ser,1
9,pa,1
9,tour,1
9,env,1
10,fism,1
10,rd,1
10,con,1
10,ts,1
10,em,1
10,sb,1
10,ser,1
10,pa,1
10,tour,1
10,env,1
11,fism,1
11,rd,1
11,con,1
11,ts,1
11,em,1
11,sb,1
11,ser,1
11,pa,1
11,tour,1
11,env,1
