rgn_id,year,jobs
1,1990,19160573.0626466
1,1991,19610816.6617405
1,1992,20008110.1670967
1,1993,20289369.4905142
1,1994,20869182.9069989
1,1995,21431688.9296579
1,1996,21900115.5891989
1,1997,22369410.0441813
1,1998,21996143.1477964
1,1999,22225328.0877448
1,2000,22664873.0370529
1,2001,22970426.5602944
1,2002,23385355.1677197
1,2003,23373210.2213862
1,2004,23806662.1575241
1,2005,23950717.19768
1,2006,24182951.4437365
1,2007,24468116.2412662
1,2008,24624459.8843957
1,2009,24633579.9057981
1,2010,24955045.8445232
1,2011,25379945.7109248
1,2012,25765233.8872797
2,1990,19160573.0626466
2,1991,19610816.6617405
2,1992,20008110.1670967
2,1993,20289369.4905142
2,1994,20869182.9069989
2,1995,21431688.9296579
2,1996,21900115.5891989
2,1997,22369410.0441813
2,1998,21996143.1477964
2,1999,22225328.0877448
2,2000,22664873.0370529
2,2001,22970426.5602944
2,2002,23385355.1677197
2,2003,23373210.2213862
2,2004,23806662.1575241
2,2005,23950717.19768
2,2006,24182951.4437365
2,2007,24468116.2412662
2,2008,24624459.8843957
2,2009,24633579.9057981
2,2010,24955045.8445232
2,2011,25379945.7109248
2,2012,25765233.8872797
3,1990,19160573.0626466
3,1991,19610816.6617405
3,1992,20008110.1670967
3,1993,20289369.4905142
3,1994,20869182.9069989
3,1995,21431688.9296579
3,1996,21900115.5891989
3,1997,22369410.0441813
3,1998,21996143.1477964
3,1999,22225328.0877448
3,2000,22664873.0370529
3,2001,22970426.5602944
3,2002,23385355.1677197
3,2003,23373210.2213862
3,2004,23806662.1575241
3,2005,23950717.19768
3,2006,24182951.4437365
3,2007,24468116.2412662
3,2008,24624459.8843957
3,2009,24633579.9057981
3,2010,24955045.8445232
3,2011,25379945.7109248
3,2012,25765233.8872797
4,1990,19160573.0626466
4,1991,19610816.6617405
4,1992,20008110.1670967
4,1993,20289369.4905142
4,1994,20869182.9069989
4,1995,21431688.9296579
4,1996,21900115.5891989
4,1997,22369410.0441813
4,1998,21996143.1477964
4,1999,22225328.0877448
4,2000,22664873.0370529
4,2001,22970426.5602944
4,2002,23385355.1677197
4,2003,23373210.2213862
4,2004,23806662.1575241
4,2005,23950717.19768
4,2006,24182951.4437365
4,2007,24468116.2412662
4,2008,24624459.8843957
4,2009,24633579.9057981
4,2010,24955045.8445232
4,2011,25379945.7109248
4,2012,25765233.8872797
5,1990,19160573.0626466
5,1991,19610816.6617405
5,1992,20008110.1670967
5,1993,20289369.4905142
5,1994,20869182.9069989
5,1995,21431688.9296579
5,1996,21900115.5891989
5,1997,22369410.0441813
5,1998,21996143.1477964
5,1999,22225328.0877448
5,2000,22664873.0370529
5,2001,22970426.5602944
5,2002,23385355.1677197
5,2003,23373210.2213862
5,2004,23806662.1575241
5,2005,23950717.19768
5,2006,24182951.4437365
5,2007,24468116.2412662
5,2008,24624459.8843957
5,2009,24633579.9057981
5,2010,24955045.8445232
5,2011,25379945.7109248
5,2012,25765233.8872797
6,1990,19160573.0626466
6,1991,19610816.6617405
6,1992,20008110.1670967
6,1993,20289369.4905142
6,1994,20869182.9069989
6,1995,21431688.9296579
6,1996,21900115.5891989
6,1997,22369410.0441813
6,1998,21996143.1477964
6,1999,22225328.0877448
6,2000,22664873.0370529
6,2001,22970426.5602944
6,2002,23385355.1677197
6,2003,23373210.2213862
6,2004,23806662.1575241
6,2005,23950717.19768
6,2006,24182951.4437365
6,2007,24468116.2412662
6,2008,24624459.8843957
6,2009,24633579.9057981
6,2010,24955045.8445232
6,2011,25379945.7109248
6,2012,25765233.8872797
7,1990,19160573.0626466
7,1991,19610816.6617405
7,1992,20008110.1670967
7,1993,20289369.4905142
7,1994,20869182.9069989
7,1995,21431688.9296579
7,1996,21900115.5891989
7,1997,22369410.0441813
7,1998,21996143.1477964
7,1999,22225328.0877448
7,2000,22664873.0370529
7,2001,22970426.5602944
7,2002,23385355.1677197
7,2003,23373210.2213862
7,2004,23806662.1575241
7,2005,23950717.19768
7,2006,24182951.4437365
7,2007,24468116.2412662
7,2008,24624459.8843957
7,2009,24633579.9057981
7,2010,24955045.8445232
7,2011,25379945.7109248
7,2012,25765233.8872797
8,1990,19160573.0626466
8,1991,19610816.6617405
8,1992,20008110.1670967
8,1993,20289369.4905142
8,1994,20869182.9069989
8,1995,21431688.9296579
8,1996,21900115.5891989
8,1997,22369410.0441813
8,1998,21996143.1477964
8,1999,22225328.0877448
8,2000,22664873.0370529
8,2001,22970426.5602944
8,2002,23385355.1677197
8,2003,23373210.2213862
8,2004,23806662.1575241
8,2005,23950717.19768
8,2006,24182951.4437365
8,2007,24468116.2412662
8,2008,24624459.8843957
8,2009,24633579.9057981
8,2010,24955045.8445232
8,2011,25379945.7109248
8,2012,25765233.8872797
9,1990,19160573.0626466
9,1991,19610816.6617405
9,1992,20008110.1670967
9,1993,20289369.4905142
9,1994,20869182.9069989
9,1995,21431688.9296579
9,1996,21900115.5891989
9,1997,22369410.0441813
9,1998,21996143.1477964
9,1999,22225328.0877448
9,2000,22664873.0370529
9,2001,22970426.5602944
9,2002,23385355.1677197
9,2003,23373210.2213862
9,2004,23806662.1575241
9,2005,23950717.19768
9,2006,24182951.4437365
9,2007,24468116.2412662
9,2008,24624459.8843957
9,2009,24633579.9057981
9,2010,24955045.8445232
9,2011,25379945.7109248
9,2012,25765233.8872797
10,1990,19160573.0626466
10,1991,19610816.6617405
10,1992,20008110.1670967
10,1993,20289369.4905142
10,1994,20869182.9069989
10,1995,21431688.9296579
10,1996,21900115.5891989
10,1997,22369410.0441813
10,1998,21996143.1477964
10,1999,22225328.0877448
10,2000,22664873.0370529
10,2001,22970426.5602944
10,2002,23385355.1677197
10,2003,23373210.2213862
10,2004,23806662.1575241
10,2005,23950717.19768
10,2006,24182951.4437365
10,2007,24468116.2412662
10,2008,24624459.8843957
10,2009,24633579.9057981
10,2010,24955045.8445232
10,2011,25379945.7109248
10,2012,25765233.8872797
11,1990,19160573.0626466
11,1991,19610816.6617405
11,1992,20008110.1670967
11,1993,20289369.4905142
11,1994,20869182.9069989
11,1995,21431688.9296579
11,1996,21900115.5891989
11,1997,22369410.0441813
11,1998,21996143.1477964
11,1999,22225328.0877448
11,2000,22664873.0370529
11,2001,22970426.5602944
11,2002,23385355.1677197
11,2003,23373210.2213862
11,2004,23806662.1575241
11,2005,23950717.19768
11,2006,24182951.4437365
11,2007,24468116.2412662
11,2008,24624459.8843957
11,2009,24633579.9057981
11,2010,24955045.8445232
11,2011,25379945.7109248
11,2012,25765233.8872797
