year,rgn_id,landings_all
2011,1,369386
2011,2,37342
2011,3,16647
2011,4,4299
2011,5,47374
2011,6,82377
2011,7,30374
2011,8,184341
2011,9,136298
2011,10,257574
2011,11,69477
2012,1,309118
2012,2,34589
2012,3,17372
2012,4,3860
2012,5,46128
2012,6,69999
2012,7,18940
2012,8,149137
2012,9,141255
2012,10,241316
2012,11,59322
2013,1,275049
2013,2,24666
2013,3,22313
2013,4,3395
2013,5,53191
2013,6,71624
2013,7,17575
2013,8,145570
2013,9,130873
2013,10,239314
2013,11,61125
2014,1,297141
2014,2,27461
2014,3,15439
2014,4,4185
2014,5,47611
2014,6,88011
2014,7,21675
2014,8,139528
2014,9,126723
2014,10,239547
2014,11,51851
2015,1,321687
2015,2,21352
2015,3,14815
2015,4,4298
2015,5,48845
2015,6,71630
2015,7,20974
2015,8,134126
2015,9,119764
2015,10,247610
2015,11,53214
2016,1,288594
2016,2,20011
2016,3,11408
2016,4,5179
2016,5,53274
2016,6,72547
2016,7,22091
2016,8,118554
2016,9,112310
2016,10,171852
2016,11,53994
