rgn_id,sector,year,grdp_krw
5,fism,2010,30628e9
4,fism,2010,266562e9
10,fism,2010,87419e9
9,fism,2010,80839e9
14,fism,2010,26401e9
13,fism,2010,3858e10
15,fism,2010,27632e9
1,fism,2010,63737e9
12,fism,2010,289719e9
3,fism,2010,62852e9
2,fism,2010,60708e9
8,fism,2010,59901e9
7,fism,2010,36632e9
11,fism,2010,10899e9
6,fism,2010,83167e9
16,fism,2010,3947e10
5,sb,2010,30628e9
4,sb,2010,266562e9
10,sb,2010,87419e9
9,sb,2010,80839e9
14,sb,2010,26401e9
13,sb,2010,3858e10
15,sb,2010,27632e9
1,sb,2010,63737e9
12,sb,2010,289719e9
3,sb,2010,62852e9
2,sb,2010,60708e9
8,sb,2010,59901e9
7,sb,2010,36632e9
11,sb,2010,10899e9
6,sb,2010,83167e9
16,sb,2010,3947e10
5,ts,2010,30628e9
4,ts,2010,266562e9
10,ts,2010,87419e9
9,ts,2010,80839e9
14,ts,2010,26401e9
13,ts,2010,3858e10
15,ts,2010,27632e9
1,ts,2010,63737e9
12,ts,2010,289719e9
3,ts,2010,62852e9
2,ts,2010,60708e9
8,ts,2010,59901e9
7,ts,2010,36632e9
11,ts,2010,10899e9
6,ts,2010,83167e9
16,ts,2010,3947e10
5,fism,2013,35357e9
4,fism,2013,313671e9
10,fism,2013,99619e9
9,fism,2013,89132e9
14,fism,2013,29763e9
13,fism,2013,44754e9
15,fism,2013,31456e9
1,fism,2013,70338e9
12,fism,2013,318607e9
3,fism,2013,68348e9
2,fism,2013,64654e9
8,fism,2013,62289e9
7,fism,2013,42513e9
11,fism,2013,13198e9
6,fism,2013,99154e9
16,fism,2013,47402e9
5,sb,2013,35357e9
4,sb,2013,313671e9
10,sb,2013,99619e9
9,sb,2013,89132e9
14,sb,2013,29763e9
13,sb,2013,44754e9
15,sb,2013,31456e9
1,sb,2013,70338e9
12,sb,2013,318607e9
3,sb,2013,68348e9
2,sb,2013,64654e9
8,sb,2013,62289e9
7,sb,2013,42513e9
11,sb,2013,13198e9
6,sb,2013,99154e9
16,sb,2013,47402e9
5,ts,2013,35357e9
4,ts,2013,313671e9
10,ts,2013,99619e9
9,ts,2013,89132e9
14,ts,2013,29763e9
13,ts,2013,44754e9
15,ts,2013,31456e9
1,ts,2013,70338e9
12,ts,2013,318607e9
3,ts,2013,68348e9
2,ts,2013,64654e9
8,ts,2013,62289e9
7,ts,2013,42513e9
11,ts,2013,13198e9
6,ts,2013,99154e9
16,ts,2013,47402e9
