rgn_id,sector,year,jobs_wo
5,fism,2010,2457
4,fism,2010,775
10,fism,2010,8623
9,fism,2010,3447
14,fism,2010,0
13,fism,2010,251
15,fism,2010,1
1,fism,2010,1913
12,fism,2010,202
3,fism,2010,151
2,fism,2010,2226
8,fism,2010,20577
7,fism,2010,1941
11,fism,2010,4378
6,fism,2010,8394
16,fism,2010,11
5,sb,2010,48
4,sb,2010,187
10,sb,2010,51450
9,sb,2010,1418
14,sb,2010,17
13,sb,2010,39
15,sb,2010,25
1,sb,2010,5119
12,sb,2010,21
3,sb,2010,29284
2,sb,2010,380
8,sb,2010,11398
7,sb,2010,1269
11,sb,2010,8
6,sb,2010,155
16,sb,2010,53
5,ts,2010,218
4,ts,2010,849
10,ts,2010,1082
9,ts,2010,592
14,ts,2010,0
13,ts,2010,0
15,ts,2010,0
1,ts,2010,7143
12,ts,2010,9848
3,ts,2010,1153
2,ts,2010,1393
8,ts,2010,2475
7,ts,2010,251
11,ts,2010,717
6,ts,2010,393
16,ts,2010,97
5,fism,2013,2032
4,fism,2013,650
10,fism,2013,7125
9,fism,2013,2866
14,fism,2013,0
13,fism,2013,250
15,fism,2013,1
1,fism,2013,1571
12,fism,2013,201
3,fism,2013,150
2,fism,2013,1847
8,fism,2013,17220
7,fism,2013,1569
11,fism,2013,3623
6,fism,2013,6873
16,fism,2013,10
5,sb,2013,38
4,sb,2013,152
10,sb,2013,46631
9,sb,2013,1515
14,sb,2013,8
13,sb,2013,9
15,sb,2013,18
1,sb,2013,4018
12,sb,2013,10
3,sb,2013,37373
2,sb,2013,139
8,sb,2013,11788
7,sb,2013,1677
11,sb,2013,6
6,sb,2013,176
16,sb,2013,23
5,ts,2013,344
4,ts,2013,922
10,ts,2013,1376
9,ts,2013,941
14,ts,2013,0
13,ts,2013,0
15,ts,2013,0
1,ts,2013,9918
12,ts,2013,9596
3,ts,2013,1356
2,ts,2013,1819
8,ts,2013,2731
7,ts,2013,245
11,ts,2013,962
6,ts,2013,517
16,ts,2013,146
