rgn_id,year,sum_total_output
12,2010,2.68E+03
2,2010,7.77E+02
4,2010,2.98E+03
15,2010,2.55E+02
16,2010,4.48E+02
6,2010,1.11E+03
14,2010,2.93E+02
7,2010,3.90E+02
8,2010,9.77E+02
13,2010,3.87E+02
9,2010,1.17E+03
1,2010,6.90E+02
3,2010,1.01E+03
10,2010,1.12E+03
5,2010,2.31E+02
11,2010,1.00E+02
12,2013,2.99E+03
2,2013,8.68E+02
4,2013,3.47E+03
15,2013,2.92E+02
16,2013,5.22E+02
6,2013,1.40E+03
14,2013,3.22E+02
7,2013,4.64E+02
8,2013,1.08E+03
13,2013,4.35E+02
9,2013,1.28E+03
1,2013,7.53E+02
3,2013,1.26E+03
10,2013,1.22E+03
5,2013,2.69E+02
11,2013,1.16E+02
