rgn_id,year,a_prot_1km
1,2000,1133.5
1,2001,1135.25
1,2002,1141.5
1,2003,1146.25
1,2004,1147
1,2005,1165.25
1,2006,1174.75
1,2007,1176
1,2008,1196.75
1,2009,1759
1,2010,1760
1,2011,1767
1,2012,1768.25
1,2013,1824
1,2014,1830.25
1,2015,1833
1,2016,1845
1,2017,1845
2,2000,1133.5
2,2001,1135.25
2,2002,1141.5
2,2003,1146.25
2,2004,1147
2,2005,1165.25
2,2006,1174.75
2,2007,1176
2,2008,1196.75
2,2009,1759
2,2010,1760
2,2011,1767
2,2012,1768.25
2,2013,1824
2,2014,1830.25
2,2015,1833
2,2016,1845
2,2017,1845
3,2000,1133.5
3,2001,1135.25
3,2002,1141.5
3,2003,1146.25
3,2004,1147
3,2005,1165.25
3,2006,1174.75
3,2007,1176
3,2008,1196.75
3,2009,1759
3,2010,1760
3,2011,1767
3,2012,1768.25
3,2013,1824
3,2014,1830.25
3,2015,1833
3,2016,1845
3,2017,1845
4,2000,1133.5
4,2001,1135.25
4,2002,1141.5
4,2003,1146.25
4,2004,1147
4,2005,1165.25
4,2006,1174.75
4,2007,1176
4,2008,1196.75
4,2009,1759
4,2010,1760
4,2011,1767
4,2012,1768.25
4,2013,1824
4,2014,1830.25
4,2015,1833
4,2016,1845
4,2017,1845
5,2000,1133.5
5,2001,1135.25
5,2002,1141.5
5,2003,1146.25
5,2004,1147
5,2005,1165.25
5,2006,1174.75
5,2007,1176
5,2008,1196.75
5,2009,1759
5,2010,1760
5,2011,1767
5,2012,1768.25
5,2013,1824
5,2014,1830.25
5,2015,1833
5,2016,1845
5,2017,1845
6,2000,1133.5
6,2001,1135.25
6,2002,1141.5
6,2003,1146.25
6,2004,1147
6,2005,1165.25
6,2006,1174.75
6,2007,1176
6,2008,1196.75
6,2009,1759
6,2010,1760
6,2011,1767
6,2012,1768.25
6,2013,1824
6,2014,1830.25
6,2015,1833
6,2016,1845
6,2017,1845
7,2000,1133.5
7,2001,1135.25
7,2002,1141.5
7,2003,1146.25
7,2004,1147
7,2005,1165.25
7,2006,1174.75
7,2007,1176
7,2008,1196.75
7,2009,1759
7,2010,1760
7,2011,1767
7,2012,1768.25
7,2013,1824
7,2014,1830.25
7,2015,1833
7,2016,1845
7,2017,1845
8,2000,1133.5
8,2001,1135.25
8,2002,1141.5
8,2003,1146.25
8,2004,1147
8,2005,1165.25
8,2006,1174.75
8,2007,1176
8,2008,1196.75
8,2009,1759
8,2010,1760
8,2011,1767
8,2012,1768.25
8,2013,1824
8,2014,1830.25
8,2015,1833
8,2016,1845
8,2017,1845
9,2000,1133.5
9,2001,1135.25
9,2002,1141.5
9,2003,1146.25
9,2004,1147
9,2005,1165.25
9,2006,1174.75
9,2007,1176
9,2008,1196.75
9,2009,1759
9,2010,1760
9,2011,1767
9,2012,1768.25
9,2013,1824
9,2014,1830.25
9,2015,1833
9,2016,1845
9,2017,1845
10,2000,1133.5
10,2001,1135.25
10,2002,1141.5
10,2003,1146.25
10,2004,1147
10,2005,1165.25
10,2006,1174.75
10,2007,1176
10,2008,1196.75
10,2009,1759
10,2010,1760
10,2011,1767
10,2012,1768.25
10,2013,1824
10,2014,1830.25
10,2015,1833
10,2016,1845
10,2017,1845
11,2000,1133.5
11,2001,1135.25
11,2002,1141.5
11,2003,1146.25
11,2004,1147
11,2005,1165.25
11,2006,1174.75
11,2007,1176
11,2008,1196.75
11,2009,1759
11,2010,1760
11,2011,1767
11,2012,1768.25
11,2013,1824
11,2014,1830.25
11,2015,1833
11,2016,1845
11,2017,1845
