rgn_id,year,pressure_score
1,2007,0.105
2,2007,0.421
3,2007,0.111
4,2007,0.556
5,2007,0.158
6,2007,0.125
7,2007,0.312
8,2007,0.295
9,2007,0.25
10,2007,0.145
11,2007,0.174
1,2008,0
2,2008,0.474
3,2008,0.222
4,2008,0.333
5,2008,0.283
6,2008,0.042
7,2008,0.062
8,2008,0.281
9,2008,0.325
10,2008,0.127
11,2008,0.13
1,2009,0.158
2,2009,0.316
3,2009,0.222
4,2009,0.444
5,2009,0.237
6,2009,0.042
7,2009,0.125
8,2009,0.072
9,2009,0.425
10,2009,0.182
11,2009,0.043
1,2010,0.105
2,2010,0.053
3,2010,0.667
4,2010,0.111
5,2010,0.132
6,2010,0
7,2010,0.062
8,2010,0.043
9,2010,0.345
10,2010,0.182
11,2010,0.13
1,2011,0
2,2011,0.4
3,2011,0.222
4,2011,0.545
5,2011,0.395
6,2011,0.042
7,2011,0.125
8,2011,0.188
9,2011,0.225
10,2011,0.327
11,2011,0.174
1,2012,0
2,2012,0.3
3,2012,0.222
4,2012,0.364
5,2012,0.158
6,2012,0.083
7,2012,0.187
8,2012,0.116
9,2012,0.325
10,2012,0.091
11,2012,0.13
1,2013,0.171
2,2013,0.455
3,2013,0.437
4,2013,0.389
5,2013,0.395
6,2013,0.083
7,2013,0.125
8,2013,0.155
9,2013,0.45
10,2013,0.279
11,2013,0.346
1,2014,0.243
2,2014,0.417
3,2014,0.409
4,2014,0.273
5,2014,0.205
6,2014,0
7,2014,0.182
8,2014,0.304
9,2014,0.513
10,2014,0.424
11,2014,0
1,2015,0.34
2,2015,0.208
3,2015,0.318
4,2015,0.273
5,2015,0.128
6,2015,0.031
7,2015,0.437
8,2015,0.152
9,2015,0.051
10,2015,0.364
11,2015,0.038
