rgn_id,sector,year,value,analysis_year
1,cf,2000,17912.5475761218,2012
1,cf,2001,16207.1216724537,2012
1,cf,2002,21943.6083845264,2012
1,cf,2003,23971.4320690883,2012
1,cf,2004,24103.3570379273,2012
1,cf,2005,32026.1863425926,2012
1,ph,2000,8145.41043447293,2012
1,ph,2001,8012.90606637287,2012
1,ph,2002,9160.88867187499,2012
1,ph,2003,10126.2666099092,2012
1,ph,2004,10663.7835815082,2012
1,ph,2005,15542.2996238426,2012
1,sb,2000,9605.15922698538,2012
1,sb,2001,9002.78222934473,2012
1,sb,2002,11082.4033731748,2012
1,sb,2003,12559.3060007123,2012
1,sb,2004,13530.9550836895,2012
1,sb,2005,15173.1576077278,2012
1,tour,2000,37445.3966624377,2012
1,tour,2001,34045.0074285523,2012
1,tour,2002,34327.5532518697,2012
1,tour,2003,38840.6262520032,2012
1,tour,2004,42150.8329994658,2012
1,tour,2005,49811.8100071225,2012
1,tran,2000,35979.1604066507,2012
1,tran,2001,32077.3911870104,2012
1,tran,2002,38666.1783854166,2012
1,tran,2003,45090.9538595085,2012
1,tran,2004,48804.4774416845,2012
1,tran,2005,58101.41365073,2012
1,cf,2001,16207.1216724537,2013
1,cf,2002,21943.6083845264,2013
1,cf,2003,23971.4320690883,2013
1,cf,2004,24103.3570379273,2013
1,cf,2005,32026.1863425926,2013
1,cf,2006,42298.9533253206,2013
1,ph,2001,8012.90606637287,2013
1,ph,2002,9160.88867187499,2013
1,ph,2003,10126.2666099092,2013
1,ph,2004,10663.7835815082,2013
1,ph,2005,15542.2996238426,2013
1,ph,2006,15109.8479789886,2013
1,sb,2001,9002.78222934473,2013
1,sb,2002,11082.4033731748,2013
1,sb,2003,12559.3060007123,2013
1,sb,2004,13530.9550836895,2013
1,sb,2005,15173.1576077278,2013
1,sb,2006,17765.2674835293,2013
1,tour,2001,34045.0074285523,2013
1,tour,2002,34327.5532518697,2013
1,tour,2003,38840.6262520032,2013
1,tour,2004,42150.8329994658,2013
1,tour,2005,49811.8100071225,2013
1,tour,2006,56816.7651575856,2013
1,tran,2001,32077.3911870104,2013
1,tran,2002,38666.1783854166,2013
1,tran,2003,45090.9538595085,2013
1,tran,2004,48804.4774416845,2013
1,tran,2005,58101.41365073,2013
1,tran,2006,64434.1515869836,2013
2,cf,2000,17912.5475761218,2012
2,cf,2001,16207.1216724537,2012
2,cf,2002,21943.6083845264,2012
2,cf,2003,23971.4320690883,2012
2,cf,2004,24103.3570379273,2012
2,cf,2005,32026.1863425926,2012
2,ph,2000,8145.41043447293,2012
2,ph,2001,8012.90606637287,2012
2,ph,2002,9160.88867187499,2012
2,ph,2003,10126.2666099092,2012
2,ph,2004,10663.7835815082,2012
2,ph,2005,15542.2996238426,2012
2,sb,2000,9605.15922698538,2012
2,sb,2001,9002.78222934473,2012
2,sb,2002,11082.4033731748,2012
2,sb,2003,12559.3060007123,2012
2,sb,2004,13530.9550836895,2012
2,sb,2005,15173.1576077278,2012
2,tour,2000,37445.3966624377,2012
2,tour,2001,34045.0074285523,2012
2,tour,2002,34327.5532518697,2012
2,tour,2003,38840.6262520032,2012
2,tour,2004,42150.8329994658,2012
2,tour,2005,49811.8100071225,2012
2,tran,2000,35979.1604066507,2012
2,tran,2001,32077.3911870104,2012
2,tran,2002,38666.1783854166,2012
2,tran,2003,45090.9538595085,2012
2,tran,2004,48804.4774416845,2012
2,tran,2005,58101.41365073,2012
2,cf,2001,16207.1216724537,2013
2,cf,2002,21943.6083845264,2013
2,cf,2003,23971.4320690883,2013
2,cf,2004,24103.3570379273,2013
2,cf,2005,32026.1863425926,2013
2,cf,2006,42298.9533253206,2013
2,ph,2001,8012.90606637287,2013
2,ph,2002,9160.88867187499,2013
2,ph,2003,10126.2666099092,2013
2,ph,2004,10663.7835815082,2013
2,ph,2005,15542.2996238426,2013
2,ph,2006,15109.8479789886,2013
2,sb,2001,9002.78222934473,2013
2,sb,2002,11082.4033731748,2013
2,sb,2003,12559.3060007123,2013
2,sb,2004,13530.9550836895,2013
2,sb,2005,15173.1576077278,2013
2,sb,2006,17765.2674835293,2013
2,tour,2001,34045.0074285523,2013
2,tour,2002,34327.5532518697,2013
2,tour,2003,38840.6262520032,2013
2,tour,2004,42150.8329994658,2013
2,tour,2005,49811.8100071225,2013
2,tour,2006,56816.7651575856,2013
2,tran,2001,32077.3911870104,2013
2,tran,2002,38666.1783854166,2013
2,tran,2003,45090.9538595085,2013
2,tran,2004,48804.4774416845,2013
2,tran,2005,58101.41365073,2013
2,tran,2006,64434.1515869836,2013
3,cf,2000,17912.5475761218,2012
3,cf,2001,16207.1216724537,2012
3,cf,2002,21943.6083845264,2012
3,cf,2003,23971.4320690883,2012
3,cf,2004,24103.3570379273,2012
3,cf,2005,32026.1863425926,2012
3,ph,2000,8145.41043447293,2012
3,ph,2001,8012.90606637287,2012
3,ph,2002,9160.88867187499,2012
3,ph,2003,10126.2666099092,2012
3,ph,2004,10663.7835815082,2012
3,ph,2005,15542.2996238426,2012
3,sb,2000,9605.15922698538,2012
3,sb,2001,9002.78222934473,2012
3,sb,2002,11082.4033731748,2012
3,sb,2003,12559.3060007123,2012
3,sb,2004,13530.9550836895,2012
3,sb,2005,15173.1576077278,2012
3,tour,2000,37445.3966624377,2012
3,tour,2001,34045.0074285523,2012
3,tour,2002,34327.5532518697,2012
3,tour,2003,38840.6262520032,2012
3,tour,2004,42150.8329994658,2012
3,tour,2005,49811.8100071225,2012
3,tran,2000,35979.1604066507,2012
3,tran,2001,32077.3911870104,2012
3,tran,2002,38666.1783854166,2012
3,tran,2003,45090.9538595085,2012
3,tran,2004,48804.4774416845,2012
3,tran,2005,58101.41365073,2012
3,cf,2001,16207.1216724537,2013
3,cf,2002,21943.6083845264,2013
3,cf,2003,23971.4320690883,2013
3,cf,2004,24103.3570379273,2013
3,cf,2005,32026.1863425926,2013
3,cf,2006,42298.9533253206,2013
3,ph,2001,8012.90606637287,2013
3,ph,2002,9160.88867187499,2013
3,ph,2003,10126.2666099092,2013
3,ph,2004,10663.7835815082,2013
3,ph,2005,15542.2996238426,2013
3,ph,2006,15109.8479789886,2013
3,sb,2001,9002.78222934473,2013
3,sb,2002,11082.4033731748,2013
3,sb,2003,12559.3060007123,2013
3,sb,2004,13530.9550836895,2013
3,sb,2005,15173.1576077278,2013
3,sb,2006,17765.2674835293,2013
3,tour,2001,34045.0074285523,2013
3,tour,2002,34327.5532518697,2013
3,tour,2003,38840.6262520032,2013
3,tour,2004,42150.8329994658,2013
3,tour,2005,49811.8100071225,2013
3,tour,2006,56816.7651575856,2013
3,tran,2001,32077.3911870104,2013
3,tran,2002,38666.1783854166,2013
3,tran,2003,45090.9538595085,2013
3,tran,2004,48804.4774416845,2013
3,tran,2005,58101.41365073,2013
3,tran,2006,64434.1515869836,2013
4,cf,2000,17912.5475761218,2012
4,cf,2001,16207.1216724537,2012
4,cf,2002,21943.6083845264,2012
4,cf,2003,23971.4320690883,2012
4,cf,2004,24103.3570379273,2012
4,cf,2005,32026.1863425926,2012
4,ph,2000,8145.41043447293,2012
4,ph,2001,8012.90606637287,2012
4,ph,2002,9160.88867187499,2012
4,ph,2003,10126.2666099092,2012
4,ph,2004,10663.7835815082,2012
4,ph,2005,15542.2996238426,2012
4,sb,2000,9605.15922698538,2012
4,sb,2001,9002.78222934473,2012
4,sb,2002,11082.4033731748,2012
4,sb,2003,12559.3060007123,2012
4,sb,2004,13530.9550836895,2012
4,sb,2005,15173.1576077278,2012
4,tour,2000,37445.3966624377,2012
4,tour,2001,34045.0074285523,2012
4,tour,2002,34327.5532518697,2012
4,tour,2003,38840.6262520032,2012
4,tour,2004,42150.8329994658,2012
4,tour,2005,49811.8100071225,2012
4,tran,2000,35979.1604066507,2012
4,tran,2001,32077.3911870104,2012
4,tran,2002,38666.1783854166,2012
4,tran,2003,45090.9538595085,2012
4,tran,2004,48804.4774416845,2012
4,tran,2005,58101.41365073,2012
4,cf,2001,16207.1216724537,2013
4,cf,2002,21943.6083845264,2013
4,cf,2003,23971.4320690883,2013
4,cf,2004,24103.3570379273,2013
4,cf,2005,32026.1863425926,2013
4,cf,2006,42298.9533253206,2013
4,ph,2001,8012.90606637287,2013
4,ph,2002,9160.88867187499,2013
4,ph,2003,10126.2666099092,2013
4,ph,2004,10663.7835815082,2013
4,ph,2005,15542.2996238426,2013
4,ph,2006,15109.8479789886,2013
4,sb,2001,9002.78222934473,2013
