rgn_id,year,no_vessels
1,2011,4318
1,2012,4271
1,2013,4152
1,2014,3967
1,2015,3691
2,2011,1972
2,2012,1963
2,2013,1937
2,2014,1895
2,2015,1825
3,2011,1278
3,2012,1274
3,2013,1274
3,2014,871
3,2015,884
4,2011,2044
4,2012,1983
4,2013,2005
4,2014,1973
4,2015,1960
5,2011,2968
5,2012,2891
5,2013,2891
5,2014,2841
5,2015,2839
6,2011,6034
6,2012,6091
6,2013,6100
6,2014,5719
6,2015,5901
7,2011,3532
7,2012,3550
7,2013,3201
7,2014,3234
7,2015,3091
8,2011,32086
8,2012,31869
8,2013,28820
8,2014,27372
8,2015,26803
9,2011,3711
9,2012,3671
9,2013,3613
9,2014,3510
9,2015,3485
10,2011,15145
10,2012,14994
10,2013,14845
10,2014,14655
10,2015,14377
11,2011,2049
11,2012,1995
11,2013,1978
11,2014,1924
11,2015,1915
