rgn_id,year,pop_coast
1,2000,1942156
2,2000,1662172
3,2000,808187
4,2000,1404095
5,2000,574516
6,2000,814592
7,2000,426311
8,2000,1757733
9,2000,933796
10,2000,2041943
11,2000,542368
1,2001,1924840
2,2001,1672809
3,2001,822707
4,2001,1677191
5,2001,570337
6,2001,807559
7,2001,426917
8,2001,1734587
9,2001,927770
10,2001,2045912
11,2001,546889
1,2002,1897239
2,2002,1678605
3,2002,830172
4,2002,1761620
5,2002,563986
6,2002,798588
7,2002,412038
8,2002,1700350
9,2002,921984
10,2002,2033956
11,2002,550831
1,2003,1883969
2,2003,1675992
3,2003,839238
4,2003,1824444
5,2003,557862
6,2003,797799
7,2003,406344
8,2003,1671667
9,2003,907268
10,2003,2032906
11,2003,552297
1,2004,1873133
2,2004,1684570
3,2004,846221
4,2004,1895805
5,2004,551768
6,2004,798077
7,2004,397137
8,2004,1646420
9,2004,898606
10,2004,2024407
11,2004,555362
1,2005,1855765
2,2005,1697713
3,2005,852231
4,2005,1953985
5,2005,544975
6,2005,802311
7,2005,391814
8,2005,1632289
9,2005,893387
10,2005,2023606
11,2005,557569
1,2006,1846612
2,2006,1711773
3,2006,857598
4,2006,2004056
5,2006,537282
6,2006,810903
7,2006,386262
8,2006,1613223
9,2006,890198
10,2006,2026231
11,2006,558496
1,2007,1837773
2,2007,1753107
3,2007,863422
4,2007,2076031
5,2007,532152
6,2007,831845
7,2007,383403
8,2007,1603481
9,2007,885311
10,2007,2034682
11,2007,559258
1,2008,1832424
2,2008,1781151
3,2008,878509
4,2008,2177506
5,2008,527891
6,2008,853210
7,2008,385045
8,2008,1600529
9,2008,883379
10,2008,2040991
11,2008,560618
1,2009,1833767
2,2009,1802620
3,2009,884654
4,2009,2230633
5,2009,526721
6,2009,871679
7,2009,387228
8,2009,1599352
9,2009,881505
10,2009,2047176
11,2009,562663
1,2010,1851129
2,2010,1842993
3,2010,893383
4,2010,2282322
5,2010,528128
6,2010,889318
7,2010,393600
8,2010,1605416
9,2010,886361
10,2010,2066086
11,2010,571255
1,2011,1841730
2,2011,1896039
3,2011,902860
4,2011,2317380
5,2011,527431
6,2011,903048
7,2011,394804
8,2011,1604293
9,2011,886157
10,2011,2075979
11,2011,576156
1,2012,1836397
2,2012,1942732
3,2012,914243
4,2012,2361820
5,2012,525606
6,2012,759247
7,2012,397650
8,2012,1601317
9,2012,885778
10,2012,2076332
11,2012,583713
1,2013,1841849
2,2013,1978991
3,2013,921873
4,2013,2395021
5,2013,526138
6,2013,768409
7,2013,398005
8,2013,1599808
9,2013,885369
10,2013,2073239
11,2013,593806
1,2014,1848257
2,2014,2006078
3,2014,927552
4,2014,2433242
5,2014,522905
6,2014,778039
7,2014,395722
8,2014,1596987
9,2014,882857
10,2014,2071397
11,2014,607346
1,2015,1854429
2,2015,2035639
3,2015,929053
4,2015,2503188
5,2015,518825
6,2015,787537
7,2015,395292
8,2015,1593617
9,2015,880586
10,2015,2076346
11,2015,624395
1,2016,1854364
2,2016,2063069
3,2016,929768
4,2016,2567912
5,2016,515867
6,2016,797473
7,2016,395153
8,2016,1583090
9,2016,877018
10,2016,2070355
11,2016,641597
