rgn_id,year,CPI
1,2000,66.572
1,2001,69.279
1,2002,71.193
1,2003,73.695
1,2004,76.341
1,2005,78.444
1,2006,80.202
1,2007,82.235
1,2008,86.079
1,2009,88.452
1,2010,91.051
1,2011,94.717
1,2012,96.789
1,2013,98.048
1,2014,99.298
1,2015,100
1,2016,100.97
2,2000,66.572
2,2001,69.279
2,2002,71.193
2,2003,73.695
2,2004,76.341
2,2005,78.444
2,2006,80.202
2,2007,82.235
2,2008,86.079
2,2009,88.452
2,2010,91.051
2,2011,94.717
2,2012,96.789
2,2013,98.048
2,2014,99.298
2,2015,100
2,2016,100.97
3,2000,66.572
3,2001,69.279
3,2002,71.193
3,2003,73.695
3,2004,76.341
3,2005,78.444
3,2006,80.202
3,2007,82.235
3,2008,86.079
3,2009,88.452
3,2010,91.051
3,2011,94.717
3,2012,96.789
3,2013,98.048
3,2014,99.298
3,2015,100
3,2016,100.97
4,2000,66.572
4,2001,69.279
4,2002,71.193
4,2003,73.695
4,2004,76.341
4,2005,78.444
4,2006,80.202
4,2007,82.235
4,2008,86.079
4,2009,88.452
4,2010,91.051
4,2011,94.717
4,2012,96.789
4,2013,98.048
4,2014,99.298
4,2015,100
4,2016,100.97
5,2000,66.572
5,2001,69.279
5,2002,71.193
5,2003,73.695
5,2004,76.341
5,2005,78.444
5,2006,80.202
5,2007,82.235
5,2008,86.079
5,2009,88.452
5,2010,91.051
5,2011,94.717
5,2012,96.789
5,2013,98.048
5,2014,99.298
5,2015,100
5,2016,100.97
6,2000,66.572
6,2001,69.279
6,2002,71.193
6,2003,73.695
6,2004,76.341
6,2005,78.444
6,2006,80.202
6,2007,82.235
6,2008,86.079
6,2009,88.452
6,2010,91.051
6,2011,94.717
6,2012,96.789
6,2013,98.048
6,2014,99.298
6,2015,100
6,2016,100.97
7,2000,66.572
7,2001,69.279
7,2002,71.193
7,2003,73.695
7,2004,76.341
7,2005,78.444
7,2006,80.202
7,2007,82.235
7,2008,86.079
7,2009,88.452
7,2010,91.051
7,2011,94.717
7,2012,96.789
7,2013,98.048
7,2014,99.298
7,2015,100
7,2016,100.97
8,2000,66.572
8,2001,69.279
8,2002,71.193
8,2003,73.695
8,2004,76.341
8,2005,78.444
8,2006,80.202
8,2007,82.235
8,2008,86.079
8,2009,88.452
8,2010,91.051
8,2011,94.717
8,2012,96.789
8,2013,98.048
8,2014,99.298
8,2015,100
8,2016,100.97
9,2000,66.572
9,2001,69.279
9,2002,71.193
9,2003,73.695
9,2004,76.341
9,2005,78.444
9,2006,80.202
9,2007,82.235
9,2008,86.079
9,2009,88.452
9,2010,91.051
9,2011,94.717
9,2012,96.789
9,2013,98.048
9,2014,99.298
9,2015,100
9,2016,100.97
10,2000,66.572
10,2001,69.279
10,2002,71.193
10,2003,73.695
10,2004,76.341
10,2005,78.444
10,2006,80.202
10,2007,82.235
10,2008,86.079
10,2009,88.452
10,2010,91.051
10,2011,94.717
10,2012,96.789
10,2013,98.048
10,2014,99.298
10,2015,100
10,2016,100.97
11,2000,66.572
11,2001,69.279
11,2002,71.193
11,2003,73.695
11,2004,76.341
11,2005,78.444
11,2006,80.202
11,2007,82.235
11,2008,86.079
11,2009,88.452
11,2010,91.051
11,2011,94.717
11,2012,96.789
11,2013,98.048
11,2014,99.298
11,2015,100
11,2016,100.97
