rgn_id,product,year,tonnes
1,corals,1988,2
1,corals,1989,1.05
1,corals,1990,0.733333333333333
1,corals,1991,0.575
1,corals,1992,0.075
1,corals,1993,0.075
1,corals,1994,0.05
1,corals,1995,0.05
1,corals,1996,0.05
1,corals,1997,0.025
1,corals,1998,0.025
1,corals,1999,0
1,corals,2000,0
1,corals,2001,0
1,corals,2002,0
1,corals,2003,0
1,corals,2004,0
1,corals,2005,0
1,corals,2006,0
1,corals,2007,0
1,corals,2008,0.5
1,corals,2009,0.525
1,corals,2010,0.525
1,corals,2011,0.525
1,corals,2012,0.025
1,corals,2013,0.025
1,fish_oil,1976,17
1,fish_oil,1977,48
1,fish_oil,1978,36.6666666666667
1,fish_oil,1979,29.75
1,fish_oil,1980,25.5
1,fish_oil,1981,5.75
1,fish_oil,1982,2.25
1,fish_oil,1983,0.025
1,fish_oil,1984,14.525
1,fish_oil,1985,16.025
1,fish_oil,1986,16.025
1,fish_oil,1987,30.25
1,fish_oil,1988,30
1,fish_oil,1989,36.275
1,fish_oil,1990,37.025
1,fish_oil,1991,117.55
1,fish_oil,1992,203.8
1,fish_oil,1993,370.525
1,fish_oil,1994,623.525
1,fish_oil,1995,1161
1,fish_oil,1996,1444
1,fish_oil,1997,1653.5
1,fish_oil,1998,2074
1,fish_oil,1999,1670
1,fish_oil,2000,1951.25
1,fish_oil,2001,2301.75
1,fish_oil,2002,2161.75
1,fish_oil,2003,2940.75
1,fish_oil,2004,3625.5
1,fish_oil,2005,3590.5
1,fish_oil,2006,3591
1,fish_oil,2007,3616.775
1,fish_oil,2008,3150.525
1,fish_oil,2009,2977.525
1,fish_oil,2010,2934.525
1,fish_oil,2011,2350
1,fish_oil,2012,1980.75
1,fish_oil,2013,1975.25
1,ornamentals,1977,237
1,ornamentals,1978,159
1,ornamentals,1979,143.333333333333
1,ornamentals,1980,196
1,ornamentals,1981,151.5
1,ornamentals,1982,148.75
1,ornamentals,1983,155.75
1,ornamentals,1984,89.75
1,ornamentals,1985,83.5
1,ornamentals,1986,69.75
1,ornamentals,1987,50.25
1,ornamentals,1988,28
1,ornamentals,1989,19.5
1,ornamentals,1990,15.75
1,ornamentals,1991,0.25
1,ornamentals,1992,0
1,ornamentals,1993,0.025
1,ornamentals,1994,0.05
1,ornamentals,1995,0.3
1,ornamentals,1996,0.325
1,ornamentals,1997,1.05
1,ornamentals,1998,2.525
1,ornamentals,1999,3.775
1,ornamentals,2000,3.75
1,ornamentals,2001,3.025
1,ornamentals,2002,2.63925257013389
1,ornamentals,2003,1.16425257013389
1,ornamentals,2004,1.16425257013389
1,ornamentals,2005,1.13925257013389
1,ornamentals,2006,0.025
1,ornamentals,2007,0
1,ornamentals,2008,0
1,ornamentals,2009,0
1,ornamentals,2010,0
1,ornamentals,2011,0
1,ornamentals,2012,0
1,ornamentals,2013,0
1,seaweeds,1981,4065
1,seaweeds,1982,3518
1,seaweeds,1983,3095.66666666667
1,seaweeds,1984,2908.25
1,seaweeds,1985,10131.5
1,seaweeds,1986,10019.75
1,seaweeds,1987,16919
1,seaweeds,1988,24981.75
1,seaweeds,1989,26095
1,seaweeds,1990,34919.75
1,seaweeds,1991,35373.75
1,seaweeds,1992,33484
1,seaweeds,1993,31368.75
1,seaweeds,1994,29051.25
1,seaweeds,1995,27280
1,seaweeds,1996,25833.5
1,seaweeds,1997,23994
1,seaweeds,1998,23211.25
1,seaweeds,1999,23788
1,seaweeds,2000,24362
1,seaweeds,2001,24231.25
1,seaweeds,2002,22735.525
1,seaweeds,2003,21753.275
1,seaweeds,2004,23889.775
1,seaweeds,2005,26377.025
1,seaweeds,2006,26677.75
1,seaweeds,2007,24398.25
1,seaweeds,2008,20871.75
1,seaweeds,2009,16852.275
1,seaweeds,2010,16915.775
1,seaweeds,2011,20522.3
1,seaweeds,2012,22910.05
1,seaweeds,2013,25863.775
1,shells,1982,1586
1,shells,1983,1267
1,shells,1984,1355
1,shells,1985,1553.75
1,shells,1986,1635.75
1,shells,1987,1812.525
1,shells,1988,1758.025
1,shells,1989,1524.275
1,shells,1990,1467.025
1,shells,1991,1301.25
1,shells,1992,1186.25
1,shells,1993,1146.5
1,shells,1994,2854
1,shells,1995,2981.75
1,shells,1996,2999.25
1,shells,1997,3076.75
1,shells,1998,1223.025
1,shells,1999,970.025
1,shells,2000,875.025
1,shells,2001,612.525
1,shells,2002,440
1,shells,2003,443
1,shells,2004,677.75
1,shells,2005,849.75
1,shells,2006,985.75
1,shells,2007,1111.5
1,shells,2008,1139
1,shells,2009,1367.5
1,shells,2010,1457.775
1,shells,2011,1504.525
1,shells,2012,1441.775
1,shells,2013,1419.275
2,corals,1988,2
2,corals,1989,1.05
2,corals,1990,0.733333333333333
2,corals,1991,0.575
2,corals,1992,0.075
2,corals,1993,0.075
2,corals,1994,0.05
2,corals,1995,0.05
2,corals,1996,0.05
2,corals,1997,0.025
2,corals,1998,0.025
2,corals,1999,0
2,corals,2000,0
2,corals,2001,0
2,corals,2002,0
2,corals,2003,0
2,corals,2004,0
2,corals,2005,0
2,corals,2006,0
2,corals,2007,0
2,corals,2008,0.5
2,corals,2009,0.525
2,corals,2010,0.525
2,corals,2011,0.525
2,corals,2012,0.025
2,corals,2013,0.025
2,fish_oil,1976,17
2,fish_oil,1977,48
2,fish_oil,1978,36.6666666666667
2,fish_oil,1979,29.75
2,fish_oil,1980,25.5
2,fish_oil,1981,5.75
2,fish_oil,1982,2.25
2,fish_oil,1983,0.025
2,fish_oil,1984,14.525
