rgn_id,sector,year,total_output
5,fism,2010,214555105e3
4,fism,2010,36772807850
10,fism,2010,1141287018e3
9,fism,2010,567484731700
14,fism,2010,0
13,fism,2010,100134421400
15,fism,2010,19803729.959999997
1,fism,2010,1572106942e3
12,fism,2010,412951165800
3,fism,2010,70721124140
2,fism,2010,197475826400
8,fism,2010,1487331309e3
7,fism,2010,121632461600
11,fism,2010,1053181583000.0001
6,fism,2010,441263433e3
16,fism,2010,4299267535
5,sb,2010,10218436890
4,sb,2010,16760885719.999998
10,sb,2010,33803182630000.004
9,sb,2010,260126216600
14,sb,2010,9568e6
13,sb,2010,3618129351
15,sb,2010,1379e6
1,sb,2010,2452484466e3
12,sb,2010,1331047586
3,sb,2010,1320132005e4
2,sb,2010,62745195030
8,sb,2010,6720673784e3
7,sb,2010,677044047800
11,sb,2010,798e6
6,sb,2010,52518970090
16,sb,2010,4812136394
5,ts,2010,288972031200
4,ts,2010,937261714700
10,ts,2010,507448767500
9,ts,2010,802254773700
14,ts,2010,0
13,ts,2010,0
15,ts,2010,0
1,ts,2010,4182117651e3
12,ts,2010,2080850168e4
3,ts,2010,2132731626999.9998
2,ts,2010,1613881664e3
8,ts,2010,2969949889e3
7,ts,2010,200056380100
11,ts,2010,121952954900
6,ts,2010,1119187754e3
16,ts,2010,6379115189
5,fism,2013,208831692900
4,fism,2013,35792521760
10,fism,2013,1110180118e3
9,fism,2013,552223590800
14,fism,2013,0
13,fism,2013,97465381790
15,fism,2013,19275870.12
1,fism,2013,1530191438e3
12,fism,2013,401944131400
3,fism,2013,68815825080
2,fism,2013,192209997800
8,fism,2013,1446802221e3
7,fism,2013,118388061300
11,fism,2013,1024326397e3
6,fism,2013,429433675e3
16,fism,2013,4184672421
5,sb,2013,9079e6
4,sb,2013,12191e6
10,sb,2013,31279372e6
9,sb,2013,321649e6
14,sb,2013,11407e6
13,sb,2013,3123e6
15,sb,2013,1796e6
1,sb,2013,2142591e6
12,sb,2013,1191e6
3,sb,2013,13838424e6
2,sb,2013,59185e6
8,sb,2013,6011585e6
7,sb,2013,824973e6
11,sb,2013,634e6
6,sb,2013,64667e6
16,sb,2013,12211e6
5,ts,2013,198165981200
4,ts,2013,906605409600
10,ts,2013,331632351300
9,ts,2013,809245404700
14,ts,2013,0
13,ts,2013,0
15,ts,2013,0
1,ts,2013,4209177925e3
12,ts,2013,1457147785e4
3,ts,2013,2054899035e3
2,ts,2013,1506027724e3
8,ts,2013,184892839e4
7,ts,2013,110771742e3
11,ts,2013,137179248700
6,ts,2013,626410582900
16,ts,2013,8503355222
