order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,15,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Fisheries,Fisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
1.3,1.2,2,MAR,FP,Mariculture,Mariculture,This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.,0.5,MAR(layers),
7.2,7,16,LE,,Coastal Livelihoods & Economies,Coastal Livelihoods & Economies,This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,,"LE(scores, layers)"
7.1,7.1,8,LIV,LE,Livelihoods,Livelihoods,This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.,0.5,"LIV_ECO(layers, subgoal='LIV')",
7.3,7.2,9,ECO,LE,Economies,Economies,This subgoal captures the economic value associated with marine industries.,0.5,"LIV_ECO(layers, subgoal='ECO')",
9,9,12,CW,,Clean Waters,Clean Waters,This goal captures the degree to which waters are polluted.,1,CW(layers),
10.2,10,18,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
10.1,10.1,13,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
10.3,10.2,14,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
